,HOOD,,,,,,,ADDR,CITY,ZIP,Latitude,Longitude,,,,,,PRICE,,
2,BEDFORD PARK/NORWOOD     ,01  ONE FAMILY DWELLINGS                    ,1,3302,56, ,A5, 2867 BRIGGS AVENUE                        ,NYC,10458,40.869852,-73.888271,"1,650","1,408",1901,1, A5 ,"$240,000 ",2/5/2015,
2,BEDFORD PARK/NORWOOD     ,01  ONE FAMILY DWELLINGS                    ,1,3303,38, ,A9, 2963 BRIGGS AVENUE                        ,NYC,10458,40.871255,-73.885966,"5,500","2,232",1901,1, A9 ,"$377,701 ",12/11/2015,
2,BEDFORD PARK/NORWOOD     ,01  ONE FAMILY DWELLINGS                    ,1,3306,31, ,A1, 232 EAST 201 STREET                       ,NYC,10458,40.8722734,-73.8859334,"2,000","1,801",1901,1, A1 ,"$470,000 ",5/14/2015,
2,BEDFORD PARK/NORWOOD     ,01  ONE FAMILY DWELLINGS                    ,1,3306,31, ,A1, 232 EAST 201 STREET                       ,NYC,10458,40.8722734,-73.8859334,"2,000","1,801",1901,1, A1 ,"$180,000 ",5/14/2015,
2,BEDFORD PARK/NORWOOD     ,01  ONE FAMILY DWELLINGS                    ,1,3311,37, ,A1, 3180 VILLA AVENUE                         ,NYC,10468,40.876475,-73.886552,"3,064",932,1910,1, A1 ,"$320,000 ",5/27/2015,
2,BEDFORD PARK/NORWOOD     ,01  ONE FAMILY DWELLINGS                    ,2B,3311,118, ,C1, 192 EAST 205TH STREET                     ,NYC,10458,40.8748706,-73.8844598,"2,411","6,716",2015,1, A1 ,"$240,000 ",4/1/2015,
2,BEDFORD PARK/NORWOOD     ,01  ONE FAMILY DWELLINGS                    ,1,3311,127, ,S1, 127 LISBON PLACE                          ,NYC,10458,40.8748439,-73.8836789,"6,875","6,592",1920,1, S1 ,"$720,000 ",6/8/2015,
2,BEDFORD PARK/NORWOOD     ,01  ONE FAMILY DWELLINGS                    ,1,3314,23, ,A1, 2692 CRESTON AVENUE                       ,NYC,10468,40.8675581,-73.8944892,"3,003","1,612",1910,1, A1 ,"$405,000 ",1/8/2015,
2,BEDFORD PARK/NORWOOD     ,01  ONE FAMILY DWELLINGS                    ,1,3318,122, ,A1, 24 EAST 198TH STREET                      ,NYC,10468,40.870814,-73.892595,"1,671","1,081",1910,1, A1 ,"$265,000 ",2/11/2015,
2,BEDFORD PARK/NORWOOD     ,01  ONE FAMILY DWELLINGS                    ,1,3349,37, ,A1, 3147 DECATUR AVENUE                       ,NYC,10467,40.872741,-73.876875,"2,500","1,948",1915,1, A1 ,"$400,000 ",10/15/2015,
2,BELMONT                  ,01  ONE FAMILY DWELLINGS                    ,1,3058,98, ,A5, 2451 HOFFMAN STREET                       ,NYC,10458,40.857401,-73.887565,"1,606","1,328",1901,1, A5 ,"$285,000 ",8/18/2015,"$293,125 "
2,BELMONT                  ,01  ONE FAMILY DWELLINGS                    ,1,3058,99, ,A5, 2449 HOFFMAN STREET                       ,NYC,10458,40.857361,-73.8876,"1,614","1,324",1930,1, A5 ,"$325,000 ",4/24/2015,
